"po_number","cust_id","sku"
"U081206","United States","ML515GRY"
"U081206","United States","ML515GRY"
"U081207","United States","W57458W"
"U081208","United States","W57458W"
"U078647","United States","NW515GRY"
"U078806","United States","NW515GRY"
"U078808","United States","NW515GRY"
"U078811","United States","NW515GRY"
"U078877","United States","NW515GRY"
"U078885","United States","NW515GRY"
"U078886","United States","PC515PNK"
"U078888","United States","PC515PNK"
"U078889","United States","NW515GRY"
"U078903","United States","PC515PNK"
"U079522","United States","W5746J3"
"U079749","United States","ML515NVY"
"U079755","United States","ML515NVY"
"U079755","United States","ML515NVY"
"U079760","United States","WL515BLK"
"U079760","United States","WL515BLK"
"U079791","United States","M5152YB"
"U079791","United States","M5152YB"
"U083320","United States","U5748SB"
"U083320","United States","U5748SB"
"U083219","United States","U5742RG"
"U083315","United States","U5748SB"
"U083317","United States","U5742RG"
"U083318","United States","U57418X"
"U083319","United States","U57418X"
"U082606","United States","GC515GRY"
"U082606","United States","GC515GRY"
"U082648","United States","U5745LX"
"U082650","United States","U57429T"
"C127131","Canada","M5152YB"
"C127131","Canada","M5152YB"
"C127131","Canada","M5152YB"
"U075959","United States","ML515GRY"
"U075946","United States","ML574EVG"
"U075953","United States","ML574EVG"
"U075956","United States","ML574EVG"
"U075945","United States","ML574EVG"
"U075955","United States","ML574EVG"
"U075960","United States","ML574EVG"
"U075949","United States","ML515GRY"
"U075958","United States","GC515GRY"
"U075963","United States","GC515GRY"
"U075935","United States","GC515GRY"
"U075937","United States","GC515GRY"
"U075934","United States","PC515GRY"
"U075932","United States","PC515GRY"
"U075944","United States","PC515GRY"
"U075941","United States","ML515GRY"
"U075942","United States","PC515GRY"
"U075943","United States","ML515GRY"
"U078813","United States","ML515AGR"
"U078815","United States","ML515AGR"
"U073871","United States","PC515NVY"
"U073871","United States","PC515NVY"
"U073871","United States","PC515NVY"
"U073871","United States","PC515NVY"
"U078840","United States","W5151SM"
"U078649","United States","W51547Y"
"U078649","United States","W51547Y"
"U078649","United States","W51547Y"
"U078909","United States","W51547Y"
"U075950","United States","PC515GRY"
"U075951","United States","PC515GRY"
"U075939","United States","ML515GRY"
"U082613","United States","WL515GRY"
"U082613","United States","WL515GRY"
"U082624","United States","WL515WHT"
"U082624","United States","WL515WHT"
"U082631","United States","ML574EVG"
"U082631","United States","ML574EVG"
"U082631","United States","ML574EVG"
